Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1997-9239-AGO,1997,9239,,Natural,Climatological,Drought,Drought,,,Angola,AGO,Middle Africa,Africa,,,,,,No,No,,,Km2,,,,,1997,3,,1998,,,,,105000,,105000,,,,,,,59.23786573,,,,
1997-9099-NER,1997,9099,,Natural,Climatological,Drought,Drought,,,Niger (the),NER,Western Africa,Africa,,,Food shortage,Famine,,Yes,No,,,Km2,,,,,1997,4,,1998,,,,,8500,,8500,,,,,,,59.23786573,,,,
1997-9100-MRT,1997,9100,,Natural,Climatological,Drought,Drought,,,Mauritania,MRT,Western Africa,Africa,"Brakna, Tagant, Assaba, Adrar and Inchiri regions",,Crop failure,Famine,Yes,Yes,No,,,Km2,,,,,1997,3,,1998,,,,,21400,,21400,,,,,,,59.23786573,,,,
1997-9091-ETH,1997,9091,,Natural,Climatological,Drought,Drought,,,Ethiopia,ETH,Eastern Africa,Africa,"Borena, Bale (Oromiya state) South Ome zone, Somali state",,,,,No,No,,,Km2,,,,,1997,2,,1997,,,,,986200,,986200,,,,,,,59.23786573,,,,
1997-9043-TCD,1997,9043,,Natural,Climatological,Drought,Drought,,,Chad,TCD,Middle Africa,Africa,,Lack of rainfall,Crop failure,,,No,No,,,Km2,,,,,1997,,,1997,,,,,356000,,356000,,,,,,,59.23786573,,,,
1998-9153-BFA,1998,9153,,Natural,Climatological,Drought,Drought,,,Burkina Faso,BFA,Western Africa,Africa,,,Food shortage,,,No,No,,,Km2,,,,,1998,3,,1998,,,,,20700,,20700,,,,,,,60.15741089,,,,
1999-9388-BDI,1999,9388,,Natural,Climatological,Drought,Drought,,,Burundi,BDI,Eastern Africa,Africa,"Bugabira, Busoni, Kirundo, Ntega districts (Kirundo province), Gihanga district (Bubanza province), Rumonge district (Bururi province), Buganda, Rugombo districts (Cibitoke province), Gitega, Ruyigi, Karuzi, Rutana, Makamba, Muyinga, Cankuzo provinces",,,,,,,,,Km2,,,,,1999,10,,2001,,,6,,650000,,650000,,,,,,,61.47366718,1;2,40546;40548;40549;40552;40554;40557;40558,40596;40605;40610;40638;40639;40642;40643;48356,"Cankuzo, Gitega, Karuzi, Makamba, Muyinga, Rutana, Ruyigi (Adm1). Bugabira, Buganda, Busoni, Gihanga, Kirundo, Ntega, Rugombo, Rumonge (Adm2)."
1998-9346-CPV,1998,9346,,Natural,Climatological,Drought,Drought,,,Cabo Verde,CPV,Western Africa,Africa,"Praia (Santiago Isl.), Fogo Isl., San Vicente, San Nicolau and Sal.",,Food shortage,Famine,,No,No,,,Km2,,,,,1998,3,,1998,,,,,10000,,10000,,,,,,,60.15741089,,,,
1998-9330-GIN,1998,9330,,Natural,Climatological,Drought,Drought,,,Guinea,GIN,Western Africa,Africa,,,Food shortage,,,No,No,,,Km2,,,,,1998,2,,1998,2,,12,,,,,,,,,,,60.15741089,,,,
1998-9237-ETH,1998,9237,,Natural,Climatological,Drought,Drought,,,Ethiopia,ETH,Eastern Africa,Africa,,,,,,No,No,,,Km2,,,,,1998,7,,1998,,,,,,,,,,,,15600,25932,60.15741089,,,,
1998-9620-MOZ,1998,9620,,Natural,Climatological,Drought,Drought,,,Mozambique,MOZ,Eastern Africa,Africa,"Maputo, Gaza, Inhame (south)",,,,,No,No,,,Km2,,,,,1998,4,,1999,,,,,,,,,,,,,,60.15741089,,,,
1998-9028-NAM,1998,9028,,Natural,Climatological,Drought,Drought,,,Namibia,NAM,Southern Africa,Africa,,,,,,No,No,,,Km2,,,,,1998,12,,1999,,,,,25000,,25000,,,,,1000,1662,60.15741089,,,,
1999-9629-MUS,1999,9629,,Natural,Climatological,Drought,Drought,,,Mauritius,MUS,Eastern Africa,Africa,Nationwide,,Water shortage,,,No,No,,,Km2,,,,,1999,1,,1999,4,,,,,,,,,,,175000,284675,61.47366718,,,,
1999-9388-ERI,1999,9388,,Natural,Climatological,Drought,Drought,,,Eritrea,ERI,Eastern Africa,Africa,"Anseba, Debubawi Keih Bahri, Semenawi Keih Bahri provinces",,Food shortage,,,,,,,Km2,,,,,1999,10,,2003,,,,,2300000,,2300000,,,,,,,61.47366718,1,1205;1208;1211,,"Anseba, Debubawi Keih Bahri, Semenawi Keih Bahri (Adm1)."
